Creacion 11/05/2018 11:16:27 a.m.
CLIENTE_ID|FECHA_ALTA|FECHA_CONFIRM|FECHA_BAJA|STATUS|SYSDATE
3941392|2018/05/08|2018/05/08||18|2018/05/11
3942734|2018/05/02|2018/05/02||1|2018/05/11
3942756|2018/05/02|2018/05/02||1|2018/05/11
3944035|2018/05/02|2018/05/02||22|2018/05/11
3944051|2018/05/09|2018/05/09||18|2018/05/11
3944065|2018/05/09|2018/05/09||18|2018/05/11
3944068|2018/05/04|2018/05/04||18|2018/05/11
3944076|2018/05/07|2018/05/07||18|2018/05/11
3944096|2018/05/03|2018/05/03||1|2018/05/11
3944097|2018/05/03|2018/05/03||18|2018/05/11
3945221|2018/05/03|2018/05/03||18|2018/05/11
3945235|2018/05/04|2018/05/04||18|2018/05/11
3945240|2018/05/02|2018/05/02||1|2018/05/11
3945244|2018/05/02|2018/05/02||1|2018/05/11
3945249|2018/05/05|2018/05/05||18|2018/05/11
3946548|2018/05/02|2018/05/02||1|2018/05/11
3946549|2018/05/09|2018/05/09||18|2018/05/11
3946568|2018/05/09|2018/05/09||18|2018/05/11
3948678|2018/05/03|2018/05/03||18|2018/05/11
3949922|2018/05/04|2018/05/04||18|2018/05/11
3949937|2018/05/02|2018/05/02||18|2018/05/11
3951063|2018/05/02|2018/05/02||1|2018/05/11
3952189|2018/05/02|2018/05/02||1|2018/05/11
3952192|2018/05/09|2018/05/09||18|2018/05/11
3952198|2018/05/03|2018/05/03||22|2018/05/11
3952204|2018/05/03|2018/05/03||22|2018/05/11
3952212|2018/05/11|2018/05/11||22|2018/05/11
3952220|2018/05/03|2018/05/03||22|2018/05/11
3952221|2018/05/10|2018/05/10||18|2018/05/11
3953368|2018/05/02|2018/05/02||1|2018/05/11
3953383|2018/05/09|2018/05/09||18|2018/05/11
3953385|2018/05/09|2018/05/09||1|2018/05/11
3953389|2018/05/08|2018/05/08||18|2018/05/11
3955242|2018/05/04|2018/05/04||18|2018/05/11
3955246|2018/05/02|2018/05/02||18|2018/05/11
3955247|2018/05/04|2018/05/04||18|2018/05/11
3955251|2018/05/04|2018/05/04||18|2018/05/11
3956341|2018/05/04|2018/05/04||18|2018/05/11
3956344|2018/05/08|2018/05/08||18|2018/05/11
3956350|2018/05/03|2018/05/03||18|2018/05/11
3956363|2018/05/03|2018/05/03||18|2018/05/11
3956365|2018/05/10|2018/05/10||18|2018/05/11
3957545|2018/05/04|2018/05/04||18|2018/05/11
3957561|2018/05/10|2018/05/10||18|2018/05/11
3957575|2018/05/02|2018/05/02||18|2018/05/11
3957591|2018/05/07|2018/05/07||18|2018/05/11
3957602|2018/05/03|2018/05/03||1|2018/05/11
3957603|2018/05/10|2018/05/10||18|2018/05/11
3957604|2018/05/04|2018/05/04||18|2018/05/11
3957606|2018/05/10|2018/05/10||22|2018/05/11
3958658|2018/05/03|2018/05/03||18|2018/05/11
3958664|2018/05/04|2018/05/04||18|2018/05/11
3958665|2018/05/02|2018/05/02||18|2018/05/11
3958699|2018/05/04|2018/05/04||18|2018/05/11
3958702|2018/05/03|2018/05/03||22|2018/05/11
3958712|2018/05/03|2018/05/03||18|2018/05/11
3958716|2018/05/08|2018/05/08||18|2018/05/11
3960016|2018/05/10|2018/05/10||18|2018/05/11
3960018|2018/05/08|2018/05/08||22|2018/05/11
3960039|2018/05/03|2018/05/03||22|2018/05/11
3960041|2018/05/08|2018/05/08||22|2018/05/11
3960045|2018/05/03|2018/05/03||18|2018/05/11
3960049|2018/05/03|2018/05/03||22|2018/05/11
3960052|2018/05/08|2018/05/08||18|2018/05/11
3962039|2018/05/03|2018/05/03||1|2018/05/11
3962044|2018/05/07|2018/05/07||22|2018/05/11
3962052|2018/05/08|2018/05/08||18|2018/05/11
3962067|2018/05/03|2018/05/03||1|2018/05/11
3963329|2018/05/03|2018/05/03||18|2018/05/11
3963333|2018/05/08|2018/05/08||1|2018/05/11
3963334|2018/05/02|2018/05/02||18|2018/05/11
3963353|2018/05/04|2018/05/04||18|2018/05/11
3963357|2018/05/03|2018/05/03||18|2018/05/11
3963362|2018/05/04|2018/05/04||1|2018/05/11
3963367|2018/05/09|2018/05/09||18|2018/05/11
3963369|2018/05/07|2018/05/07||18|2018/05/11
3963370|2018/05/03|2018/05/03||18|2018/05/11
3963382|2018/05/02|2018/05/02||1|2018/05/11
3964558|2018/05/04|2018/05/04||18|2018/05/11
3964560|2018/05/09|2018/05/09||1|2018/05/11
3964561|2018/05/09|2018/05/09||1|2018/05/11
3964563|2018/05/09|2018/05/09||1|2018/05/11
3964565|2018/05/09|2018/05/09||1|2018/05/11
3964569|2018/05/09|2018/05/09||1|2018/05/11
3964586|2018/05/02|2018/05/02||1|2018/05/11
3964590|2018/05/09|2018/05/09||1|2018/05/11
3964593|2018/05/08|2018/05/08||18|2018/05/11
3964594|2018/05/09|2018/05/09||1|2018/05/11
3964600|2018/05/04|2018/05/04||18|2018/05/11
3964601|2018/05/04|2018/05/04||22|2018/05/11
3964609|2018/05/03|2018/05/03||1|2018/05/11
3964611|2018/05/03|2018/05/03||1|2018/05/11
3964614|2018/05/04|2018/05/04||22|2018/05/11
3964615|2018/05/03|2018/05/03||18|2018/05/11
3964618|2018/05/09|2018/05/09||18|2018/05/11
3965798|2018/05/04|2018/05/04||1|2018/05/11
